# Database,Tag,Query,Min,Max,Average
SF-4,default,01,0.157852888107,0.370821475983,0.205167150498
SF-4,default,02,0.0901138782501,0.116898536682,0.0996791839598
SF-4,default,03,0.118129014969,0.192827224731,0.136288833618
SF-4,default,04,0.0839037895203,0.113343477249,0.0961636066434
SF-4,default,05,0.118650436401,0.153986692429,0.136696338654
SF-4,default,06,0.0444638729095,0.101364850998,0.058244037628
SF-4,default,07,0.0997641086578,0.175629615784,0.124957656861
SF-4,default,08,0.199919700623,0.252331972122,0.23362903595
SF-4,default,09,0.151885271072,0.222522258759,0.171641540527
SF-4,default,10,0.101496934891,0.125539541245,0.114413166046
SF-4,default,11,0.087851524353,0.103658676147,0.09338889122
SF-4,default,12,0.077449798584,0.155835390091,0.10557641983
SF-4,default,13,0.341727495193,0.399795055389,0.364593267442
SF-4,default,14,0.0506815910339,0.127085447311,0.0678611278534
SF-4,default,15,0.1036465168,0.175387144089,0.123962211609
SF-4,default,16,0.219800233841,0.265211820602,0.239991378784
SF-4,default,17,0.101611375809,0.129029750824,0.109927368164
SF-4,default,18,0.201447248459,0.275320291519,0.234613084794
SF-4,default,19,0.067747592926,0.0736920833588,0.0710546493532
SF-4,default,20,0.0714671611786,0.118368148804,0.0858702659608
SF-4,default,21,0.827199459076,1.0963075161,0.968631124496
SF-4,default,22,0.19385266304,0.258389472961,0.223933887482
