# Database,Tag,Query,Min,Max,Average
SF-1,default,01,0.27072596549987793,0.32766222953796387,0.2860041618347168
SF-1,default,02,0.028530597686767578,0.5320417881011963,0.13094038963317872
SF-1,default,03,0.05013418197631836,0.07417654991149902,0.06011385917663574
SF-1,default,04,0.06082415580749512,0.07687640190124512,0.06751847267150879
SF-1,default,05,0.06136965751647949,0.07966279983520508,0.07194428443908692
SF-1,default,06,0.028737306594848633,0.033048152923583984,0.03118891716003418
SF-1,default,07,0.10455822944641113,0.6080234050750732,0.21104321479797364
SF-1,default,08,0.06598567962646484,0.0761573314666748,0.07121787071228028
SF-1,default,09,0.10118770599365234,0.6184871196746826,0.21131396293640137
SF-1,default,10,0.0495295524597168,0.05962681770324707,0.055101633071899414
SF-1,default,11,0.09698057174682617,0.10581755638122559,0.10126953125
SF-1,default,12,0.04922795295715332,1.0569088459014893,0.2615966796875
SF-1,default,13,0.12131381034851074,0.15045762062072754,0.13338637351989746
SF-1,default,14,0.028014421463012695,0.030755043029785156,0.029179096221923828
SF-1,default,15,0.028630495071411133,0.031618595123291016,0.03021831512451172
SF-1,default,16,0.2205214500427246,0.7172038555145264,0.3240067481994629
SF-1,default,17,0.07742619514465332,0.5871906280517578,0.2877375602722168
SF-1,default,18,0.09156107902526855,0.09679365158081055,0.0945427417755127
SF-1,default,19,0.04257917404174805,1.0469403266906738,0.2495361328125
SF-1,default,20,0.04296159744262695,0.523179292678833,0.1420344352722168
SF-1,default,21,0.13318324089050293,0.1449441909790039,0.13773136138916015
SF-1,default,22,0.11532115936279297,0.6254448890686035,0.218194580078125
