# Database,Tag,Query,Min,Max,Average
SF-1,01,01,0.0768859386444,0.173177719116,0.105739593506
SF-1,01,02,0.0511336326599,0.0604948997498,0.0547337532044
SF-1,01,03,0.0703785419464,0.0980045795441,0.079062795639
SF-1,01,04,0.0518720149994,0.0658991336823,0.0594510555266
SF-1,01,05,0.0762341022491,0.0932996273041,0.0829232215882
SF-1,01,06,0.0363388061523,0.0664446353912,0.0498765945434
SF-1,01,07,0.076425075531,0.128047227859,0.092158269882
SF-1,01,08,0.0939157009125,0.108618021011,0.103500604629
SF-1,01,09,0.100078821182,0.121657371521,0.112840175629
SF-1,01,10,0.0630114078522,0.0765612125397,0.0684664726256
SF-1,01,11,0.0653994083405,0.0752120018005,0.0698310375214
SF-1,01,12,0.053554058075,0.0883266925812,0.066250514984
SF-1,01,13,0.112427949905,0.16429066658,0.132445335388
SF-1,01,14,0.0424113273621,0.070641040802,0.05284409523
SF-1,01,15,0.0755097866058,0.103269100189,0.091050195694
SF-1,01,16,0.115183115005,0.158761739731,0.131780862808
SF-1,01,17,0.0698943138123,0.0947353839874,0.0771906375884
SF-1,01,18,0.0884480476379,0.128170490265,0.111264848709
SF-1,01,19,0.0704414844513,0.106360912323,0.0859110832214
SF-1,01,20,0.0589294433594,0.0922992229462,0.0748895645142
SF-1,01,21,0.698179244995,1.16332793236,0.892778635026
SF-1,01,22,0.0956871509552,0.120846986771,0.1120429039
# Database,Tag,Query,Min,Max,Average
SF-1,02,01,0.0747706890106,0.141587734222,0.0919538497924
SF-1,02,02,0.0544128417969,0.0711159706116,0.059228563309
SF-1,02,03,0.081529378891,0.100551843643,0.090731191635
SF-1,02,04,0.0587961673737,0.0675942897797,0.061633205414
SF-1,02,05,0.084504365921,0.108039140701,0.0990453720092
SF-1,02,06,0.034220457077,0.0597248077393,0.041135931015
SF-1,02,07,0.0773725509644,0.120010614395,0.0953508853912
SF-1,02,08,0.113093137741,0.131855010986,0.121837568283
SF-1,02,09,0.0938324928284,0.138937473297,0.109471988678
SF-1,02,10,0.0732131004333,0.0882823467255,0.0800395488738
SF-1,02,11,0.0644869804382,0.0815331935883,0.0732700347902
SF-1,02,12,0.0566985607147,0.0742337703705,0.0673990249634
SF-1,02,13,0.139919996262,0.152223825455,0.144912004471
SF-1,02,14,0.044127702713,0.0637073516846,0.050851392746
SF-1,02,15,0.0794887542725,0.101702690125,0.090519285202
SF-1,02,16,0.135899305344,0.16766667366,0.158079910278
SF-1,02,17,0.0677735805511,0.0906529426575,0.0790975093842
SF-1,02,18,0.0964293479919,0.130656242371,0.110241556168
SF-1,02,19,0.0694735050201,0.104687452316,0.0776975631714
SF-1,02,20,0.0570685863495,0.139327526093,0.0822465896608
SF-1,02,21,0.709086179733,1.00266671181,0.786557102202
SF-1,02,22,0.0994989871979,0.122215747833,0.113403463364
# Database,Tag,Query,Min,Max,Average
SF-1,03,01,0.074319601059,0.135760545731,0.0896813869478
SF-1,03,02,0.0504193305969,0.0539546012878,0.0525027275086
SF-1,03,03,0.0650644302368,0.106668710709,0.0777004241944
SF-1,03,04,0.0543718338013,0.060943365097,0.0577043533324
SF-1,03,05,0.0781586170197,0.100308656693,0.0891631126406
SF-1,03,06,0.0340321063995,0.0655658245087,0.0451215267182
SF-1,03,07,0.0722453594208,0.109746932983,0.0865533351898
SF-1,03,08,0.103797912598,0.134968519211,0.118590450287
SF-1,03,09,0.09490442276,0.144685506821,0.112733650208
SF-1,03,10,0.0751087665558,0.0940828323364,0.0841156482698
SF-1,03,11,0.0635826587677,0.0783443450928,0.0722308158874
SF-1,03,12,0.0616064071655,0.0837984085083,0.0687665462494
SF-1,03,13,0.140759944916,0.17049574852,0.156974983215
SF-1,03,14,0.0450844764709,0.0770628452301,0.0546947956086
SF-1,03,15,0.0723724365234,0.0986104011536,0.0838618278502
SF-1,03,16,0.127816200256,0.139860630035,0.133118247986
SF-1,03,17,0.0679759979248,0.0903739929199,0.077723169327
SF-1,03,18,0.111788511276,0.122786283493,0.117017173767
SF-1,03,19,0.0800182819366,0.105645895004,0.0927167415618
SF-1,03,20,0.0676579475403,0.103276729584,0.08391623497
SF-1,03,21,0.72033572197,1.14458632469,0.90855951309
SF-1,03,22,0.116504192352,0.128151655197,0.121182155609
# Database,Tag,Query,Min,Max,Average
SF-2,01,01,0.177393913269,42.0859494209,8.57532663346
SF-2,01,02,0.0792908668518,0.529216051102,0.172443437576
SF-2,01,03,0.136859416962,0.804618120193,0.287372684478
SF-2,01,04,0.0685288906097,0.106378555298,0.0808718204498
SF-2,01,05,0.105421304703,0.120161533356,0.112474775315
SF-2,01,06,0.0448198318481,31.9290552139,6.42826209066
SF-2,01,07,0.10471701622,0.232311964035,0.163208913803
SF-2,01,08,0.141034126282,0.321440458298,0.192153120041
SF-2,01,09,0.117666959763,0.192971467972,0.137841320038
SF-2,01,10,0.0844812393188,0.200282096863,0.11772146225
SF-2,01,11,0.0813367366791,0.0864596366882,0.0846727371216
SF-2,01,12,0.0672934055328,45.5569350719,9.18275775908
SF-2,01,13,0.200942516327,0.261392354965,0.23673453331
SF-2,01,14,0.0495700836182,0.243601560593,0.0896499156952
SF-2,01,15,0.083123922348,0.134176254272,0.101789617538
SF-2,01,16,0.193979501724,0.249538660049,0.227350330352
SF-2,01,17,0.0877733230591,0.124630212784,0.102113962174
SF-2,01,18,0.139030456543,0.261808872223,0.178629350662
SF-2,01,19,0.0780069828033,0.109637737274,0.0875329494476
SF-2,01,20,0.0738568305969,0.0981349945068,0.0827431678772
SF-2,01,21,0.816046953201,1.24627923965,1.08340415955
SF-2,01,22,0.155767202377,0.194560289383,0.172173404694
