# Database,Tag,Query,Min,Max,Average
SF-1,default,01,1.4929533004760742,1.4929533004760742,1.4929533004760742
SF-1,default,02,0.029996633529663086,0.029996633529663086,0.029996633529663086
SF-1,default,03,0.13831377029418945,0.13831377029418945,0.13831377029418945
SF-1,default,04,0.14746952056884766,0.14746952056884766,0.14746952056884766
SF-1,default,05,0.22804999351501465,0.22804999351501465,0.22804999351501465
SF-1,default,06,0.06488752365112305,0.06488752365112305,0.06488752365112305
SF-1,default,07,0.3691895008087158,0.3691895008087158,0.3691895008087158
SF-1,default,08,0.13265013694763184,0.13265013694763184,0.13265013694763184
SF-1,default,09,0.3419623374938965,0.3419623374938965,0.3419623374938965
SF-1,default,10,0.12462282180786133,0.12462282180786133,0.12462282180786133
SF-1,default,11,0.12810635566711426,0.12810635566711426,0.12810635566711426
SF-1,default,12,0.26525402069091797,0.26525402069091797,0.26525402069091797
SF-1,default,13,0.27437663078308105,0.27437663078308105,0.27437663078308105
SF-1,default,14,0.06612634658813477,0.06612634658813477,0.06612634658813477
SF-1,default,15,0.06444478034973145,0.06444478034973145,0.06444478034973145
SF-1,default,16,0.2552025318145752,0.2552025318145752,0.2552025318145752
SF-1,default,17,0.01782846450805664,0.01782846450805664,0.01782846450805664
SF-1,default,18,0.15429902076721191,0.15429902076721191,0.15429902076721191
SF-1,default,19,0.18066763877868652,0.18066763877868652,0.18066763877868652
SF-1,default,20,0.10703897476196289,0.10703897476196289,0.10703897476196289
SF-1,default,21,0.49747419357299805,0.49747419357299805,0.49747419357299805
SF-1,default,22,0.15171027183532715,0.15171027183532715,0.15171027183532715
# Database,Tag,Query,Min,Max,Average
SF-1,default,01,0.9758126735687256,0.9758126735687256,0.9758126735687256
SF-1,default,02,0.02925252914428711,0.02925252914428711,0.02925252914428711
SF-1,default,03,0.11275362968444824,0.11275362968444824,0.11275362968444824
SF-1,default,04,0.18394732475280762,0.18394732475280762,0.18394732475280762
SF-1,default,05,0.20640039443969727,0.20640039443969727,0.20640039443969727
SF-1,default,06,0.08106040954589844,0.08106040954589844,0.08106040954589844
SF-1,default,07,0.3571014404296875,0.3571014404296875,0.3571014404296875
SF-1,default,08,0.1707303524017334,0.1707303524017334,0.1707303524017334
SF-1,default,09,0.3152916431427002,0.3152916431427002,0.3152916431427002
SF-1,default,10,0.1345505714416504,0.1345505714416504,0.1345505714416504
SF-1,default,11,0.12296819686889648,0.12296819686889648,0.12296819686889648
SF-1,default,12,0.28147268295288086,0.28147268295288086,0.28147268295288086
SF-1,default,13,0.2765617370605469,0.2765617370605469,0.2765617370605469
SF-1,default,14,0.059108734130859375,0.059108734130859375,0.059108734130859375
SF-1,default,15,0.050351858139038086,0.050351858139038086,0.050351858139038086
SF-1,default,16,0.756249189376831,0.756249189376831,0.756249189376831
SF-1,default,17,0.019258499145507812,0.019258499145507812,0.019258499145507812
SF-1,default,18,0.13251447677612305,0.13251447677612305,0.13251447677612305
SF-1,default,19,0.1975419521331787,0.1975419521331787,0.1975419521331787
SF-1,default,20,0.11581778526306152,0.11581778526306152,0.11581778526306152
SF-1,default,21,0.5094914436340332,0.5094914436340332,0.5094914436340332
SF-1,default,22,0.157745361328125,0.157745361328125,0.157745361328125
# Database,Tag,Query,Min,Max,Average
SF-1,default,01,1.014467477798462,1.014467477798462,1.014467477798462
SF-1,default,02,0.03912925720214844,0.03912925720214844,0.03912925720214844
SF-1,default,03,0.11954975128173828,0.11954975128173828,0.11954975128173828
SF-1,default,04,0.16034913063049316,0.16034913063049316,0.16034913063049316
SF-1,default,05,0.20001864433288574,0.20001864433288574,0.20001864433288574
SF-1,default,06,0.06133556365966797,0.06133556365966797,0.06133556365966797
SF-1,default,07,0.38796043395996094,0.38796043395996094,0.38796043395996094
SF-1,default,08,0.16916108131408691,0.16916108131408691,0.16916108131408691
SF-1,default,09,0.48424696922302246,0.48424696922302246,0.48424696922302246
SF-1,default,10,0.12643957138061523,0.12643957138061523,0.12643957138061523
SF-1,default,11,0.1220099925994873,0.1220099925994873,0.1220099925994873
SF-1,default,12,0.2728292942047119,0.2728292942047119,0.2728292942047119
SF-1,default,13,0.27310633659362793,0.27310633659362793,0.27310633659362793
SF-1,default,14,0.06324172019958496,0.06324172019958496,0.06324172019958496
SF-1,default,15,0.0506136417388916,0.0506136417388916,0.0506136417388916
SF-1,default,16,0.26189517974853516,0.26189517974853516,0.26189517974853516
SF-1,default,17,0.018903017044067383,0.018903017044067383,0.018903017044067383
SF-1,default,18,0.1263105869293213,0.1263105869293213,0.1263105869293213
SF-1,default,19,0.20777583122253418,0.20777583122253418,0.20777583122253418
SF-1,default,20,0.08459186553955078,0.08459186553955078,0.08459186553955078
SF-1,default,21,0.4844956398010254,0.4844956398010254,0.4844956398010254
SF-1,default,22,0.1515824794769287,0.1515824794769287,0.1515824794769287
# Database,Tag,Query,Min,Max,Average
SF-1,default,01,0.018561363220214844,0.018561363220214844,0.018561363220214844
SF-1,default,02,0.024125099182128906,0.024125099182128906,0.024125099182128906
SF-1,default,03,0.015900611877441406,0.015900611877441406,0.015900611877441406
SF-1,default,04,0.012496232986450195,0.012496232986450195,0.012496232986450195
SF-1,default,05,0.017439603805541992,0.017439603805541992,0.017439603805541992
SF-1,default,06,0.021230220794677734,0.021230220794677734,0.021230220794677734
SF-1,default,07,0.019484758377075195,0.019484758377075195,0.019484758377075195
SF-1,default,08,0.01912856101989746,0.01912856101989746,0.01912856101989746
SF-1,default,09,0.015104055404663086,0.015104055404663086,0.015104055404663086
SF-1,default,10,0.011626005172729492,0.011626005172729492,0.011626005172729492
SF-1,default,11,0.014667987823486328,0.014667987823486328,0.014667987823486328
SF-1,default,12,0.018316984176635742,0.018316984176635742,0.018316984176635742
SF-1,default,13,0.015847206115722656,0.015847206115722656,0.015847206115722656
SF-1,default,14,0.017665386199951172,0.017665386199951172,0.017665386199951172
SF-1,default,15,0.015351295471191406,0.015351295471191406,0.015351295471191406
SF-1,default,16,0.011442184448242188,0.011442184448242188,0.011442184448242188
SF-1,default,17,0.015097618103027344,0.015097618103027344,0.015097618103027344
SF-1,default,18,0.017232656478881836,0.017232656478881836,0.017232656478881836
SF-1,default,19,0.01966714859008789,0.01966714859008789,0.01966714859008789
SF-1,default,20,0.019711017608642578,0.019711017608642578,0.019711017608642578
SF-1,default,21,0.023432493209838867,0.023432493209838867,0.023432493209838867
SF-1,default,22,0.01018834114074707,0.01018834114074707,0.01018834114074707
# Database,Tag,Query,Min,Max,Average
SF-1,default,01,0.020383596420288086,0.020383596420288086,0.020383596420288086
SF-1,default,02,0.024925947189331055,0.024925947189331055,0.024925947189331055
SF-1,default,03,0.027007579803466797,0.027007579803466797,0.027007579803466797
SF-1,default,04,0.018428802490234375,0.018428802490234375,0.018428802490234375
SF-1,default,05,0.014324188232421875,0.014324188232421875,0.014324188232421875
SF-1,default,06,0.012465238571166992,0.012465238571166992,0.012465238571166992
